excel_row,Thread ID,Reply #,Author,Date,Comment,Highlighted Text,Context,Char Position
12,6a33fb1a34ed05fee4df6674,0,jason.blocklove,"18 June, 7:05 am",Define or explain,E2M1,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",7969
13,6a33fb2234ed05fee4df667a,0,jason.blocklove,"18 June, 7:05 am",Define or explain,E8M0,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",8018
14,6a33fb366572004fe08a8f26,0,jason.blocklove,"18 June, 7:05 am",Will be implies that you've not actually done it,will be,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",8071
15,6a33fb6cdc32bf2129205be9,0,jason.blocklove,"18 June, 7:06 am","You can get rid of this and just start with ""The primary objective...""","To recap the main discussion points made before, ","To recap the main discussion points made before, the primary objective of this research is to maximize the use of low-latency on-chip memory resources that maintains the precision needed for long context models. By mapping 4-bit MXFP4 multipliers directly onto the LUT resources of the FPGAs, parallel computation is achieved~\cite{b12}. This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.",8643
16,6a33fb6cdc32bf2129205be9,1,jason.blocklove,"18 June, 7:06 am",There's a lot of fluff in this writing that you guys should trim out,,,
17,6a33fbbb34ed05fee4df66c5,0,jason.blocklove,"18 June, 7:07 am",You need to define this extremely clearly since it's a main factor of your work. You address it like knowing about MXFP4 should be common knowledge,MXFP4,"This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",7359
18,6a33fbfedc32bf2129205c3a,0,jason.blocklove,"18 June, 7:09 am",Define,LUT,"To recap the main discussion points made before, the primary objective of this research is to maximize the use of low-latency on-chip memory resources that maintains the precision needed for long context models. By mapping 4-bit MXFP4 multipliers directly onto the LUT resources of the FPGAs, parallel computation is achieved~\cite{b12}. This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.",8908
19,6a33fc1887496cf05d0b1ed2,0,jason.blocklove,"18 June, 7:09 am",Define,FPGA,"This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",7121
20,6a33fc586572004fe08a8fb7,0,jason.blocklove,"18 June, 7:10 am",This is a really good way to end the introduction. It explains your contribution concisely and clearly,This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.,"To recap the main discussion points made before, the primary objective of this research is to maximize the use of low-latency on-chip memory resources that maintains the precision needed for long context models. By mapping 4-bit MXFP4 multipliers directly onto the LUT resources of the FPGAs, parallel computation is achieved~\cite{b12}. This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.",8981
21,6a33fcab87496cf05d0b1f19,0,jason.blocklove,"18 June, 7:11 am","You don't need to duplicate citations here. You can eliminate the sentence ""A number of previous studies..."" and jump straight to talking about those studies.","\subsection{Linear Attention and Gated DeltaNet}
The use of linear or",,9788
22,6a33fcab87496cf05d0b1f19,1,Ty Boy,"18 June, 10:17 am",got rid of that sentence,,,
23,6a33fd0287496cf05d0b1f47,0,jason.blocklove,"18 June, 7:13 am",Move this definition up to where they're discussed in the intro,field-programmable gate arrays (FPGAs),"\subsection{FPGA Acceleration for Attention Models}
This work uses field-programmable gate arrays (FPGAs) as a basis for implementing application-specific architectures, specifically in terms of dataflow architecture. These devices provide flexibility to map memory banks based upon the specific requirements of the workload or application and enable pipelined operation and custom mapping of arithmetic units.",10710
24,6a33fd9fdc32bf2129205d0f,0,jason.blocklove,"18 June, 7:15 am","I would reword this to be a bit more active. ""Building upon this approach, we focus on ...""","Building upon this general approach, the current research focuses on the native MXFP4 datapath rather than a BF16-style high-precision datapath.","Prior work on using FPGAs for persistent-state architectures demonstrated that storing linear attention states on-chip improves memory efficiency when performing decode-related workloads \cite{b10}. Building upon this general approach, the current research focuses on the native MXFP4 datapath rather than a BF16-style high-precision datapath.",11254
25,6a33fdcb34ed05fee4df67c1,0,jason.blocklove,"18 June, 7:16 am","""This research"" is a bit vague on whether you're referring to the paper you just referenced or your own work. Try to keep too much of what y'all did out of the related works and more in the following sections",this research,"A key distinction of this research is the integration of persistent-state dataflow with microscaled 4-bit floating-point (MXFP4) arithmetic. The intent of the overall design is not to accelerate all layers of a large language model (LLM), but rather to isolate the memory and arithmetic behavior related to updating the recurrent state within a single Gated DeltaNet decode layer.",11421
26,6a33fdea87496cf05d0b1fb9,0,jason.blocklove,"18 June, 7:17 am",You only need to define things once in the body of the paper,large language model (LLM),"A key distinction of this research is the integration of persistent-state dataflow with microscaled 4-bit floating-point (MXFP4) arithmetic. The intent of the overall design is not to accelerate all layers of a large language model (LLM), but rather to isolate the memory and arithmetic behavior related to updating the recurrent state within a single Gated DeltaNet decode layer.",11611
27,6a33fe146572004fe08a9093,0,jason.blocklove,"18 June, 7:17 am",How? Why? A claim like this must be cited.,Reduced-precision data formats reduce memory usage and arithmetic cost.,"\subsection{Low-Precision and Microscaling Formats}
Reduced-precision data formats reduce memory usage and arithmetic cost. However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements. To improve upon fixed-format representations, microscaling provides a method of using a single exponent value that is common to multiple elements \cite{b12}. MXFP4 utilizes 4-bit E2M1 values with a common scale applied to a small group of values, or block. This results in compact storage for each individual element and allows the entire block to store a larger local dynamic range. Due to these characteristics, MXFP4 represents a strong candidate for hardware-based implementations on FPGAs.",11834
28,6a33fe26537013d3d71a3406,0,jason.blocklove,"18 June, 7:18 am",Cite this claim,"However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements.","\subsection{Low-Precision and Microscaling Formats}
Reduced-precision data formats reduce memory usage and arithmetic cost. However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements. To improve upon fixed-format representations, microscaling provides a method of using a single exponent value that is common to multiple elements \cite{b12}. MXFP4 utilizes 4-bit E2M1 values with a common scale applied to a small group of values, or block. This results in compact storage for each individual element and allows the entire block to store a larger local dynamic range. Due to these characteristics, MXFP4 represents a strong candidate for hardware-based implementations on FPGAs.",11906
29,6a33feb7537013d3d71a3455,0,jason.blocklove,"18 June, 7:20 am",Expand this whole section a bit. Talk about how you came up with this and why its the focus. What led you to formulate the problem particularly like this? Did you consider any other formulations?,"\section{Problem Formulation and Workload Definition}
This study focuses on processing one batch-one Gated DeltaNet decode layer during autoregressive inference. The accelerator processes one token at a time and updates a static recurrent state after each token. The default model configuration uses 32 attention heads with a head size of 128. For each generated token, the kernel receives a query vector, key vector, value vector, beta parameter, and output gate. These input vectors are used to access the prior recurrent state, compute the delta-rule update, store the updated state back into on-chip memory, and generate the gated output vector.","\section{Problem Formulation and Workload Definition}
This study focuses on processing one batch-one Gated DeltaNet decode layer during autoregressive inference. The accelerator processes one token at a time and updates a static recurrent state after each token. The default model configuration uses 32 attention heads with a head size of 128. For each generated token, the kernel receives a query vector, key vector, value vector, beta parameter, and output gate. These input vectors are used to access the prior recurrent state, compute the delta-rule update, store the updated state back into on-chip memory, and generate the gated output vector.",12867
30,6a33fef334ed05fee4df6848,0,jason.blocklove,"18 June, 7:21 am","I appreciate you trying to make the figure physically smaller, but now the text is a bit too small. It's fine for it to be a 2-column figure, there's just a lot of whitespace in the figure itself that should be compressed.","\begin{figure}[t]
\centering
\includegraphics[width=\linewidth]{mxfp4_gdn_datapath_paper_fit.png}
\caption{Overview of the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. Token inputs are packed into MXFP4 blocks, the recurrent state remains resident in on-chip BRAM/URAM, and native E2M1 LUT multiplication with block-scale alignment and fixed-point accumulation is reused across prediction, state update, and output generation.}
\label{fig:mxfp4_gdn_datapath}
\end{figure}","\begin{figure}[t]
\centering
\includegraphics[width=\linewidth]{mxfp4_gdn_datapath_paper_fit.png}
\caption{Overview of the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. Token inputs are packed into MXFP4 blocks, the recurrent state remains resident in on-chip BRAM/URAM, and native E2M1 LUT multiplication with block-scale alignment and fixed-point accumulation is reused across prediction, state update, and output generation.}
\label{fig:mxfp4_gdn_datapath}
\end{figure}",13859
31,6a33ff3a537013d3d71a349a,0,jason.blocklove,"18 June, 7:22 am",But why? Why is it architected this way? What benefit does this datapath provide? Did you consider alternative architectures?,"Figure~\ref{fig:mxfp4_gdn_datapath} summarizes the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. The upper portion shows the token-level recurrent-state path, while the lower portion isolates the native MXFP4 arithmetic reused during prediction, state update, and output generation.","\section{Hardware Architecture}
Figure~\ref{fig:mxfp4_gdn_datapath} summarizes the proposed native MXFP4 persistent-state Gated DeltaNet decode datapath. The upper portion shows the token-level recurrent-state path, while the lower portion isolates the native MXFP4 arithmetic reused during prediction, state update, and output generation.",13550
32,6a33ff6b537013d3d71a34b1,0,jason.blocklove,"18 June, 7:23 am",What do these papers tell us? Why are they being cited here?,"\cite{b1,b4,b7}","\subsection{Persistent Recurrent State}
As opposed to an existing KV cache that expands in size as sequence length increases, the recurrent state of Gated DeltaNet consists of a fixed-size recurrent-state matrix \cite{b3}. The recurrent-state matrix stores the compressed information of previous tokens, functioning as a compact associative memory that addresses the standard LLM memory wall \cite{b1,b4,b7}. The recurrent-state is updated after every decode cycle.",14750
33,6a33ffd2dc32bf2129205e28,0,jason.blocklove,"18 June, 7:25 am",This table isn't referenced anywhere? What does it relate to?,"\begin{table}[t]
\centering
\caption{Recurrent-state storage comparison by numeric format.}
\label{tab:memory_footprint}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Format & Bits per Element & Storage Relative to MXFP4 \\
\midrule
MXFP4 & 4 + block-scale metadata & 1x \\
INT8 & 8 & 2x \\
BF16 / FP16 & 16 & 4x \\
FP32 & 32 & 8x \\
\bottomrule
\end{tabularx}
\end{table}","\begin{table}[t]
\centering
\caption{Recurrent-state storage comparison by numeric format.}
\label{tab:memory_footprint}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{Xcc}
\toprule
Format & Bits per Element & Storage Relative to MXFP4 \\
\midrule
MXFP4 & 4 + block-scale metadata & 1x \\
INT8 & 8 & 2x \\
BF16 / FP16 & 16 & 4x \\
FP32 & 32 & 8x \\
\bottomrule
\end{tabularx}
\end{table}",14825
34,6a33ffd2dc32bf2129205e28,1,jason.blocklove,"18 June, 7:26 am","Also, you can't throw ""block-scale metadata"" into this table without explaining the size overhead. You say it's a ""small overhead"" further down, but that needs to be addressed somewhere around the table itself, like in the caption",,,
35,6a34002987496cf05d0b20d7,0,jason.blocklove,"18 June, 7:26 am","Again, at this point you're discussing what you guys did, why is this work being cited here?",\cite{b10},"The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel. On-chip storage of the recurrent state results in reduced latency and energy consumption since each decode step will need to load the prior state; modify it; and save the modified version. However, accessing the full state matrix repeatedly off-chip and back to on-chip will become a resource-consumptive task, worsening the memory-bound limits of standard decode paths \cite{b7}.",15355
36,6a340079537013d3d71a3524,0,jason.blocklove,"18 June, 7:28 am",These sentences are repetitive in a way that makes them hard to follow,"The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel.","The recurrent state $S_t$ is stored within partitions of on-chip FPGA memory banks \cite{b10}. With respect to the stored recurrent state $S_t$, it allows access to different parts of the state matrix in parallel. On-chip storage of the recurrent state results in reduced latency and energy consumption since each decode step will need to load the prior state; modify it; and save the modified version. However, accessing the full state matrix repeatedly off-chip and back to on-chip will become a resource-consumptive task, worsening the memory-bound limits of standard decode paths \cite{b7}.",15272
37,6a3400db6572004fe08a91ed,0,jason.blocklove,"18 June, 7:29 am",Reference Table 1 or make a graph for this,"In comparison, BF16 requires 16 bits per element, while FP32 requires 32 bits per element. Consequently, MXFP4 reduces the storage requirements for recurrent-state elements by nearly 4 times compared with BF16 and 8 times compared with FP32, before accounting for the small overhead associated with block-scale metadata.","The recurrent state is the primary persistent storage entity in the Gated DeltaNet decode layer. By using MXFP4, the amount of storage required for each element is reduced to 4 bits per element plus a small amount of shared block-scale metadata. In comparison, BF16 requires 16 bits per element, while FP32 requires 32 bits per element. Consequently, MXFP4 reduces the storage requirements for recurrent-state elements by nearly 4 times compared with BF16 and 8 times compared with FP32, before accounting for the small overhead associated with block-scale metadata.",16114
38,6a34013034ed05fee4df6970,0,jason.blocklove,"18 June, 7:31 am","This is really good! You might want to consider putting this whole thing into a algorithm rather than a series of one-line equations, but either way I think it reads well and is quite clear","Every decode step uses the current key and value to update the recurrent-state. First, the prior state is multiplied by the key vector to create a prediction based on delta-rule dynamics \cite{b3}:
\begin{equation}
r_t = S_{t-1} k_t
\end{equation}

The prediction is what the prior state already holds for the upcoming key. The hardware performs a comparison between the prediction and the new value vector:
\begin{equation}
e_t = r_t - v_t
\end{equation}

The error ($e_t$) is created due to a difference between what was stored by the prior state and what information is presented by the new token. This error is scaled by the beta input and is used to update the state:
\begin{equation}
S_t = S_{t-1} - \beta_t e_t k_t^T
\end{equation}

This state update is a rank-one update. It changes the state by applying both the direction of the key and the error against the value.

Following the recurrent state update, the design utilizes the query vector and the recurrent state to produce the intermediate output vector:","\subsection{Gated DeltaNet Update Path}
Every decode step uses the current key and value to update the recurrent-state. First, the prior state is multiplied by the key vector to create a prediction based on delta-rule dynamics \cite{b3}:
\begin{equation}
r_t = S_{t-1} k_t
\end{equation}",16476
39,6a3401ee537013d3d71a35d2,0,jason.blocklove,"18 June, 7:34 am",This table is also not referenced anywhere,"\begin{table}[t]
\centering
\caption{Arithmetic formats used in the proposed datapath.}
\label{tab:data_formats}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{llX}
\toprule
Tensor / Value & Format & Notes \\
\midrule
Weights & MXFP4 & Block size 32 \\
Activations & MXFP4 & Dynamic per token \\
Recurrent state & MXFP4 & Stored on chip \\
Beta & INT8 & Scaling parameter \\
Partial products & Q4.3 & From E2M1 multiply \\
Accumulator & INT24 & Block-aligned accumulation \\
Final output & FP16 & Output format \\
\bottomrule
\end{tabularx}
\end{table}","\begin{table}[t]
\centering
\caption{Arithmetic formats used in the proposed datapath.}
\label{tab:data_formats}
\footnotesize
\renewcommand{\arraystretch}{1.0}
\setlength{\tabcolsep}{6pt}
\begin{tabularx}{\linewidth}{llX}
\toprule
Tensor / Value & Format & Notes \\
\midrule
Weights & MXFP4 & Block size 32 \\
Activations & MXFP4 & Dynamic per token \\
Recurrent state & MXFP4 & Stored on chip \\
Beta & INT8 & Scaling parameter \\
Partial products & Q4.3 & From E2M1 multiply \\
Accumulator & INT24 & Block-aligned accumulation \\
Final output & FP16 & Output format \\
\bottomrule
\end{tabularx}
\end{table}",22086
40,6a34029534ed05fee4df6a1c,0,jason.blocklove,"18 June, 7:37 am",This could really benefit from a figure or two comparing the naive implementation with your design,\cite{b10}.,"Overall, our optimization reduces total-state-traversal work from approximately three full passes to less than two by collapsing these passes into a tighter, five-phase pipelined datapath design \cite{b10}.",20740
41,6a34029534ed05fee4df6a1c,1,jason.blocklove,"18 June, 7:37 am","Or a set of algorithms comparing them, since they're both step-by-step processes",,,
42,6a34029534ed05fee4df6a1c,2,Ty Boy,"18 June, 10:44 am",add a table,,,
