source_index,thread_id,reply_number,reviewer,date,comment_text,highlighted_text,context,char_position,raw_workbook_rows,source_cell,legacy_topic_ids,concern,required_action,paper_section,status
11,6a33fb2234ed05fee4df667a,0,jason.blocklove,"18 June, 7:05 am",Define or explain,E8M0,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",8018,13,Comments!E13,Legacy-13,"Define or explain [highlighted: ""E8M0""]",Define exponent-only block scale and invalid encoding policy.,Numerical Method,NOT_RUN
12,6a33fb366572004fe08a8f26,0,jason.blocklove,"18 June, 7:05 am",Will be implies that you've not actually done it,will be,"By maximizing the efficiency of the data format itself, we can make a better case for the limited on-chip storage available. Numerical states can be packed into extremely compact 4-bit OCP microscaling formats through the specific utilization of 4-bit E2M1 elements that are bounded by a shared 8-bit E8M0 block scale~\cite{b12}. The processing elements will be able to perform continuous linear attention updates without having to request a time-consuming demand to the external memory bus. By focusing on one piece of a hybrid attention model, we can improve the performance and efficiency of the entire implementation that is being used. In a hybrid model like the previously mentioned 3:1 structure, we can look at the primary building block that makes up 75\% of the core pipeline and focus entirely on improving what makes up the bulk of the model which would naturally optimize the entire system as a whole~\cite{b9}.",8071,14,Comments!E14,Legacy-14,"Will be implies that you've not actually done it [highlighted: ""will be""]",Use present or past tense only for passed evidence.,Architecture,NOT_RUN
13,6a33fb6cdc32bf2129205be9,0,jason.blocklove,"18 June, 7:06 am","You can get rid of this and just start with ""The primary objective...""","To recap the main discussion points made before, ","To recap the main discussion points made before, the primary objective of this research is to maximize the use of low-latency on-chip memory resources that maintains the precision needed for long context models. By mapping 4-bit MXFP4 multipliers directly onto the LUT resources of the FPGAs, parallel computation is achieved~\cite{b12}. This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.",8643,15,Comments!E15,Legacy-15,"You can get rid of this and just start with ""The primary objective..."" [highlighted: ""To recap the main discussion points made before, ""]",Remove recap and state the objective once.,Introduction,NOT_RUN
14,6a33fb6cdc32bf2129205be9,1,jason.blocklove,"18 June, 7:06 am",There's a lot of fluff in this writing that you guys should trim out,,,,16,Comments!E16,Legacy-16,There's a lot of fluff in this writing that you guys should trim out,"Keep one motivation, one format definition, and one contribution paragraph.",Introduction,NOT_RUN
15,6a33fbbb34ed05fee4df66c5,0,jason.blocklove,"18 June, 7:07 am",You need to define this extremely clearly since it's a main factor of your work. You address it like knowing about MXFP4 should be common knowledge,MXFP4,"This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",7359,17;74,Comments!E17,Legacy-11,"You need to define this extremely clearly since it's a main factor of your work. You address it like knowing about MXFP4 should be common knowledge [highlighted: ""MXFP4""]","Define E2M1 elements, E8M0 scale, and B32 metadata overhead.",Numerical Method,NOT_RUN
16,6a33fbfedc32bf2129205c3a,0,jason.blocklove,"18 June, 7:09 am",Define,LUT,"To recap the main discussion points made before, the primary objective of this research is to maximize the use of low-latency on-chip memory resources that maintains the precision needed for long context models. By mapping 4-bit MXFP4 multipliers directly onto the LUT resources of the FPGAs, parallel computation is achieved~\cite{b12}. This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.",8908,18,Comments!E18,Legacy-17,"Define [highlighted: ""LUT""]",Expand lookup table at first use and scope the LUT-based claim to element multiply.,Introduction,NOT_RUN
17,6a33fc1887496cf05d0b1ed2,0,jason.blocklove,"18 June, 7:09 am",Define,FPGA,"This specific replacement technique targeting the growing KV caches of each internal macro block of a whole layer structure does make the memory usage a lot more efficient than without~\cite{b10}. However, traditional implementations utilizing high-precision data formats such as FP32 will quickly saturate the limited memory on these kinds of FPGAs~\cite{b10}. When these state matrices start to exceed the local capacity, the hardware must go on to use external bandwidth memory. To break this memory wall and improve efficiency of current integer standards, we implement a 4-bit MXFP4 datapath onto a Xilinx Alveo U55C accelerator to create an efficient connection between the local memory and external memory~\cite{b5}. This can be done by treating the URAM and BRAM as the permanent execution area for those compressed $S$ matrices and reserving the high bandwidth memory (HBM) for the growing KV caches of the full attention layers.",7121,19,Comments!E19,Legacy-18,"Define [highlighted: ""FPGA""]",Expand field-programmable gate array at first use.,Introduction,NOT_RUN
18,6a33fc586572004fe08a8fb7,0,jason.blocklove,"18 June, 7:10 am",This is a really good way to end the introduction. It explains your contribution concisely and clearly,This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.,"To recap the main discussion points made before, the primary objective of this research is to maximize the use of low-latency on-chip memory resources that maintains the precision needed for long context models. By mapping 4-bit MXFP4 multipliers directly onto the LUT resources of the FPGAs, parallel computation is achieved~\cite{b12}. This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.",8981,20;75,Comments!E20,Legacy-19,"This is a really good way to end the introduction. It explains your contribution concisely and clearly [highlighted: ""This paper introduces a new data packaging optimization method that can break through the modern memory wall and unlock higher potential of hybrid linear attention architectures on high-end FPGA fabric~\cite{b5}.""]","End with the supported arithmetic/stability question, not broad novelty.",Introduction,NOT_RUN
19,6a33fcab87496cf05d0b1f19,0,jason.blocklove,"18 June, 7:11 am","You don't need to duplicate citations here. You can eliminate the sentence ""A number of previous studies..."" and jump straight to talking about those studies.","\subsection{Linear Attention and Gated DeltaNet}
The use of linear or",,9788,21;76,Comments!E21,Legacy-20,"You don't need to duplicate citations here. You can eliminate the sentence ""A number of previous studies..."" and jump straight to talking about those studies. [highlighted: ""\subsection{Linear Attention and Gated DeltaNet}
The use of linear or""]",Verify duplicate is absent in the final source.,Related Work,NOT_RUN
20,6a33fd0287496cf05d0b1f47,0,jason.blocklove,"18 June, 7:13 am",Move this definition up to where they're discussed in the intro,field-programmable gate arrays (FPGAs),"\subsection{FPGA Acceleration for Attention Models}
This work uses field-programmable gate arrays (FPGAs) as a basis for implementing application-specific architectures, specifically in terms of dataflow architecture. These devices provide flexibility to map memory banks based upon the specific requirements of the workload or application and enable pipelined operation and custom mapping of arithmetic units.",10710,23,Comments!E23,Legacy-21,"Move this definition up to where they're discussed in the intro [highlighted: ""field-programmable gate arrays (FPGAs)""]",Define once in the introduction and use the acronym thereafter.,Introduction,NOT_RUN
21,6a33fd9fdc32bf2129205d0f,0,jason.blocklove,"18 June, 7:15 am","I would reword this to be a bit more active. ""Building upon this approach, we focus on ...""","Building upon this general approach, the current research focuses on the native MXFP4 datapath rather than a BF16-style high-precision datapath.","Prior work on using FPGAs for persistent-state architectures demonstrated that storing linear attention states on-chip improves memory efficiency when performing decode-related workloads \cite{b10}. Building upon this general approach, the current research focuses on the native MXFP4 datapath rather than a BF16-style high-precision datapath.",11254,24,Comments!E24,Legacy-22,"I would reword this to be a bit more active. ""Building upon this approach, we focus on ..."" [highlighted: ""Building upon this general approach, the current research focuses on the native MXFP4 datapath rather than a BF16-style high-precision datapath.""]","State that the numeric datapath, not persistent dataflow, is under study.",Related Work,NOT_RUN
22,6a33fdcb34ed05fee4df67c1,0,jason.blocklove,"18 June, 7:16 am","""This research"" is a bit vague on whether you're referring to the paper you just referenced or your own work. Try to keep too much of what y'all did out of the related works and more in the following sections",this research,"A key distinction of this research is the integration of persistent-state dataflow with microscaled 4-bit floating-point (MXFP4) arithmetic. The intent of the overall design is not to accelerate all layers of a large language model (LLM), but rather to isolate the memory and arithmetic behavior related to updating the recurrent state within a single Gated DeltaNet decode layer.",11421,25;78,Comments!E25,Legacy-23,"""This research"" is a bit vague on whether you're referring to the paper you just referenced or your own work. Try to keep too much of what y'all did out of the related works and more in the following sections [highlighted: ""this research""]",Name the proposed design or experiment directly.,Related Work,NOT_RUN
23,6a33fdea87496cf05d0b1fb9,0,jason.blocklove,"18 June, 7:17 am",You only need to define things once in the body of the paper,large language model (LLM),"A key distinction of this research is the integration of persistent-state dataflow with microscaled 4-bit floating-point (MXFP4) arithmetic. The intent of the overall design is not to accelerate all layers of a large language model (LLM), but rather to isolate the memory and arithmetic behavior related to updating the recurrent state within a single Gated DeltaNet decode layer.",11611,26,Comments!E26,Legacy-24,"You only need to define things once in the body of the paper [highlighted: ""large language model (LLM)""]",Define large language model once.,Introduction,NOT_RUN
24,6a33fe146572004fe08a9093,0,jason.blocklove,"18 June, 7:17 am",How? Why? A claim like this must be cited.,Reduced-precision data formats reduce memory usage and arithmetic cost.,"\subsection{Low-Precision and Microscaling Formats}
Reduced-precision data formats reduce memory usage and arithmetic cost. However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements. To improve upon fixed-format representations, microscaling provides a method of using a single exponent value that is common to multiple elements \cite{b12}. MXFP4 utilizes 4-bit E2M1 values with a common scale applied to a small group of values, or block. This results in compact storage for each individual element and allows the entire block to store a larger local dynamic range. Due to these characteristics, MXFP4 represents a strong candidate for hardware-based implementations on FPGAs.",11834,27,Comments!E27,Legacy-25,"How? Why? A claim like this must be cited. [highlighted: ""Reduced-precision data formats reduce memory usage and arithmetic cost.""]",Cite the OCP format source and separate representation facts from measured hardware effects.,Background,NOT_RUN
25,6a33fe26537013d3d71a3406,0,jason.blocklove,"18 June, 7:18 am",Cite this claim,"However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements.","\subsection{Low-Precision and Microscaling Formats}
Reduced-precision data formats reduce memory usage and arithmetic cost. However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements. To improve upon fixed-format representations, microscaling provides a method of using a single exponent value that is common to multiple elements \cite{b12}. MXFP4 utilizes 4-bit E2M1 values with a common scale applied to a small group of values, or block. This results in compact storage for each individual element and allows the entire block to store a larger local dynamic range. Due to these characteristics, MXFP4 represents a strong candidate for hardware-based implementations on FPGAs.",11906,28,Comments!E28,Legacy-26,"Cite this claim [highlighted: ""However, a fixed low-bit-width representation may limit the ability to represent large ranges in individual elements.""]",Cite primary format literature and explain shared-scale tradeoffs.,Background,NOT_RUN
26,6a33feb7537013d3d71a3455,0,jason.blocklove,"18 June, 7:20 am",Expand this whole section a bit. Talk about how you came up with this and why its the focus. What led you to formulate the problem particularly like this? Did you consider any other formulations?,"\section{Problem Formulation and Workload Definition}
This study focuses on processing one batch-one Gated DeltaNet decode layer during autoregressive inference. The accelerator processes one token at a time and updates a static recurrent state after each token. The default model configuration uses 32 attention heads with a head size of 128. For each generated token, the kernel receives a query vector, key vector, value vector, beta parameter, and output gate. These input vectors are used to access the prior recurrent state, compute the delta-rule update, store the updated state back into on-chip memory, and generate the gated output vector.","\section{Problem Formulation and Workload Definition}
This study focuses on processing one batch-one Gated DeltaNet decode layer during autoregressive inference. The accelerator processes one token at a time and updates a static recurrent state after each token. The default model configuration uses 32 attention heads with a head size of 128. For each generated token, the kernel receives a query vector, key vector, value vector, beta parameter, and output gate. These input vectors are used to access the prior recurrent state, compute the delta-rule update, store the updated state back into on-chip memory, and generate the gated output vector.",12867,29;79,Comments!E29,Legacy-27;Legacy-28,"Expand this whole section a bit. Talk about how you came up with this and why its the focus. What led you to formulate the problem particularly like this? Did you consider any other formulations? [highlighted: ""\section{Problem Formulation and Workload Definition}
This study focuses on processing one batch-one Gated DeltaNet decode layer during autoregressive inference. The accelerator processes one token at a time and updates a static recurrent state after each token. The default model configuration uses 32 attention heads with a head size of 128. For each generated token, the kernel receives a query vector, key vector, value vector, beta parameter, and output gate. These input vectors are used to access the prior recurrent state, compute the delta-rule update, store the updated state back into on-chip memory, and generate the gated output vector.""]",Explain why the recurrence-core boundary isolates the research question.; Describe excluded boundaries and why they would confound the comparison.,Problem Formulation,NOT_RUN
